Reading input data for 2Sum Problem.
No. of numbers: 1000000
Resolved: -7079 -65354379903 65354372824
Resolved: -6986 28237629555 -28237636541
Resolved: -6985 88199322572 -88199329557
Resolved: -6893 -83117800944 83117794051
Resolved: -6892 -3078486446 3078479554
Resolved: -6800 82893093201 -82893100001
Resolved: -6799 56526606882 -56526613681
Resolved: -6707 -73290447972 73290441265
Resolved: -6706 -49344791635 49344784929
Resolved: -6614 -34937587351 34937580737
Resolved: -6613 74861876375 -74861882988
Resolved: -6521 45491250485 -45491257006
Resolved: -6520 67106514688 -67106521208
Resolved: -6428 2918017237 -2918023665
Resolved: -6427 50135877612 -50135884039
Resolved: -6334 -92896140830 92896134496
Resolved: -6241 -41079739827 41079733586
Resolved: -6240 -27315216012 27315209772
Resolved: -6148 5365398016 -5365404164
Resolved: -6147 46844705542 -46844711689
Resolved: -6055 -1136572707 1136566652
Resolved: -6054 71727003330 -71727009384
Resolved: -5962 -57686906848 57686900886
Resolved: -5961 -97752438019 97752432058
Resolved: -5869 87890783877 -87890789746
Resolved: -5868 -55692748705 55692742837
Resolved: -5776 -34142399922 34142394146
Resolved: -5775 -12215222005 12215216230
Resolved: -5683 49928307509 -49928313192
Resolved: -5682 -21718947181 21718941499
Resolved: -5589 11657361179 -11657366768
Resolved: -5588 13453808014 -13453813602
Resolved: -5496 81568537 -81574033
Resolved: -5495 -69055247665 69055242170
Resolved: -5403 -67729436871 67729431468
Resolved: -5402 -52702097014 52702091612
Resolved: -5310 -88864094201 88864088891
Resolved: -5309 85329394501 -85329399810
Resolved: -5217 55011511293 -55011516510
Resolved: -5216 -80700938488 80700933272
Resolved: -5124 3167020018 -3167025142
Resolved: -5123 -28334649340 28334644217
Resolved: -5031 43973327308 -43973332339
Resolved: -5030 -80388510032 80388505002
Resolved: -4938 5856815867 -5856820805
Resolved: -4937 -91317077257 91317072320
Resolved: -4844 -22740269696 22740264852
Resolved: -4843 -91448810879 91448806036
Resolved: -4751 -5672240028 5672235277
Resolved: -4750 -71984014554 71984009804
Resolved: -4658 -38493555011 38493550353
Resolved: -4657 3468117911 -3468122568
Resolved: -4565 -7456021993 7456017428
Resolved: -4564 -49113505962 49113501398
Resolved: -4472 -1024618979 1024614507
Resolved: -4471 -38296502614 38296498143
Resolved: -4379 36836340900 -36836345279
Resolved: -4378 -72292145050 72292140672
Resolved: -4286 65392850788 -65392855074
Resolved: -4285 -96202422305 96202418020
Resolved: -4192 -34244591340 34244587148
Resolved: -4191 -96383529993 96383525802
Resolved: -4099 87059159291 -87059163390
Resolved: -4098 -38003691164 38003687066
Resolved: -4006 -15207656341 15207652335
Resolved: -4005 32863247177 -32863251182
Resolved: -3913 81696930891 -81696934804
Resolved: -3912 -35663862683 35663858771
Resolved: -3820 98390823508 -98390827328
Resolved: -3819 74420309241 -74420313060
Resolved: -3727 14985247754 -14985251481
Resolved: -3726 28996625323 -28996629049
Resolved: -3634 69782435134 -69782438768
Resolved: -3633 35632198646 -35632202279
Resolved: -3541 87608294741 -87608298282
Resolved: -3540 13411571976 -13411575516
Resolved: -3447 -98799045477 98799042030
Resolved: -3446 -4313666329 4313662883
Resolved: -3354 64225753659 -64225757013
Resolved: -3353 15740494670 -15740498023
Resolved: -3261 30566198439 -30566201700
Resolved: -3260 -6558581119 6558577859
Resolved: -3168 -40123778834 40123775666
Resolved: -3167 39383509913 -39383513080
Resolved: -3075 98786545078 -98786548153
Resolved: -3074 80956301643 -80956304717
Resolved: -2982 80425610104 -80425613086
Resolved: -2981 25262259936 -25262262917
Resolved: -2889 48424326231 -48424329120
Resolved: -2888 87958286510 -87958289398
Resolved: -2795 -85490997874 85490995079
Resolved: -2794 -94373559111 94373556317
Resolved: -2702 -32122414249 32122411547
Resolved: -2701 70410489184 -70410491885
Resolved: -2609 -28042830401 28042827792
Resolved: -2608 62870283780 -62870286388
Resolved: -2516 -33904856320 33904853804
Resolved: -2515 -75480028603 75480026088
Resolved: -2423 48732919594 -48732922017
Resolved: -2422 34653872500 -34653874922
Resolved: -2330 16904430238 -16904432568
Resolved: -2329 -58715755846 58715753517
Resolved: -2237 -5550362406 5550360169
Resolved: -2236 91943279184 -91943281420
Resolved: -2144 4743794679 -4743796823
Resolved: -2143 28538505420 -28538507563
Resolved: -2050 -8456878322 8456876272
Resolved: -2049 -34476776670 34476774621
Resolved: -1957 16714059615 -16714061572
Resolved: -1956 -49259686726 49259684770
Resolved: -1864 -97367707174 97367705310
Resolved: -1863 7553552048 -7553553911
Resolved: -1771 -33859825011 33859823240
Resolved: -1770 70755719007 -70755720777
Resolved: -1678 -56533719021 56533717343
Resolved: -1677 -78422729382 78422727705
Resolved: -1585 59173963851 -59173965436
Resolved: -1584 -53191537575 53191535991
Resolved: -1492 5826218102 -5826219594
Resolved: -1491 -92636480738 92636479247
Resolved: -1398 -72283978562 72283977164
Resolved: -1397 77116905049 -77116906446
Resolved: -1305 -19762469698 19762468393
Resolved: -1304 74677526287 -74677527591
Resolved: -1212 -52693791107 52693789895
Resolved: -1211 -77733948444 77733947233
Resolved: -1119 78227447987 -78227449106
Resolved: -1118 -21214378775 21214377657
Resolved: -1026 32358315741 -32358316767
Resolved: -1025 -32661634466 32661633441
Resolved: -933 3405135079 -3405136012
Resolved: -932 88863619225 -88863620157
Resolved: -840 -95858388393 95858387553
Resolved: -839 43218237414 -43218238253
Resolved: -747 52250329475 -52250330222
Resolved: -746 96852802204 -96852802950
Resolved: -653 -24336867279 24336866626
Resolved: -652 92802314550 -92802315202
Resolved: -560 56761471813 -56761472373
Resolved: -559 -70670773448 70670772889
Resolved: -467 -7715905322 7715904855
Resolved: -466 -22943678835 22943678369
Resolved: -374 65609588830 -65609589204
Resolved: -373 40784129752 -40784130125
Resolved: -281 -68755426058 68755425777
Resolved: -280 -41840120937 41840120657
Resolved: -188 50046455184 -50046455372
Resolved: -187 -75748243265 75748243078
Resolved: -95 -13449010493 13449010398
Resolved: -94 -91409050018 91409049924
Resolved: -1 21044697296 -21044697297
Resolved: 92 -57815931346 57815931438
Resolved: 93 18959433082 -18959432989
Resolved: 185 78463560798 -78463560613
Resolved: 186 -26007161814 26007162000
Resolved: 278 -91355508656 91355508934
Resolved: 279 -23215810919 23215811198
Resolved: 371 -63366192563 63366192934
Resolved: 372 99574917461 -99574917089
Resolved: 464 -69363357020 69363357484
Resolved: 465 -87380832335 87380832800
Resolved: 557 86847007547 -86847006990
Resolved: 558 76607318304 -76607317746
Resolved: 650 -23614466342 23614466992
Resolved: 651 -71150746929 71150747580
Resolved: 744 76001741632 -76001740888
Resolved: 745 -43947960224 43947960969
Resolved: 837 -97554129827 97554130664
Resolved: 838 -11544433195 11544434033
Resolved: 930 48632586257 -48632585327
Resolved: 931 -54626728387 54626729318
Resolved: 1023 -79862863841 79862864864
Resolved: 1024 -8501709676 8501710700
Resolved: 1116 -48223846755 48223847871
Resolved: 1117 96995927764 -96995926647
Resolved: 1209 -45858554052 45858555261
Resolved: 1210 83805294793 -83805293583
Resolved: 1302 -50911555883 50911557185
Resolved: 1303 61591851786 -61591850483
Resolved: 1395 14277013816 -14277012421
Resolved: 1396 -90234837491 90234838887
Resolved: 1489 -59534720406 59534721895
Resolved: 1490 84084746886 -84084745396
Resolved: 1582 -66984932017 66984933599
Resolved: 1583 -78729280447 78729282030
Resolved: 1675 -75582750131 75582751806
Resolved: 1676 57452606483 -57452604807
Resolved: 1768 -49406190380 49406192148
Resolved: 1769 -71984014554 71984016323
Resolved: 1861 7640936275 -7640934414
Resolved: 1862 -41737624324 41737626186
Resolved: 1954 -36260732514 36260734468
Resolved: 1955 70478294310 -70478292355
Resolved: 2047 -39385735030 39385737077
Resolved: 2048 90020806337 -90020804289
Resolved: 2141 36935359955 -36935357814
Resolved: 2142 87109867943 -87109865801
Resolved: 2234 42639987702 -42639985468
Resolved: 2235 -70659347610 70659349845
Resolved: 2327 54249529146 -54249526819
Resolved: 2328 85001387440 -85001385112
Resolved: 2420 81550005255 -81550002835
Resolved: 2421 -76245988429 76245990850
Resolved: 2513 38682947744 -38682945231
Resolved: 2514 94649396927 -94649394413
Resolved: 2606 -41248192053 41248194659
Resolved: 2607 17115766330 -17115763723
Resolved: 2699 -83142126531 83142129230
Resolved: 2700 -3501868669 3501871369
Resolved: 2792 26629286038 -26629283246
Resolved: 2793 -53547692278 53547695071
Resolved: 2886 -66070099812 66070102698
Resolved: 2887 57954328767 -57954325880
Resolved: 2979 35310792799 -35310789820
Resolved: 2980 -77916147736 77916150716
Resolved: 3072 92281247485 -92281244413
Resolved: 3073 33983659527 -33983656454
Resolved: 3165 48840465186 -48840462021
Resolved: 3166 -72266526880 72266530046
Resolved: 3258 -9726794116 9726797374
Resolved: 3259 -23098197730 23098200989
Resolved: 3351 -17106618322 17106621673
Resolved: 3352 88730471296 -88730467944
Resolved: 3444 -52260755540 52260758984
Resolved: 3445 91755977082 -91755973637
Resolved: 3538 -21152249967 21152253505
Resolved: 3539 -28150664609 28150668148
Resolved: 3631 80834006602 -80834002971
Resolved: 3632 -87465210160 87465213792
Resolved: 3724 52535754047 -52535750323
Resolved: 3725 -70430765008 70430768733
Resolved: 3817 61413386818 -61413383001
Resolved: 3818 -99054697435 99054701253
Resolved: 3910 -62462370733 62462374643
Resolved: 3911 86578917683 -86578913772
Resolved: 4003 -9042195841 9042199844
Resolved: 4004 84182871405 -84182867401
Resolved: 4096 33835398374 -33835394278
Resolved: 4097 27554193757 -27554189660
Resolved: 4189 21562342867 -21562338678
Resolved: 4190 1511000423 -1510996233
Resolved: 4283 -25399788714 25399792997
Resolved: 4284 50664688065 -50664683781
Resolved: 4376 -68438574285 68438578661
Resolved: 4377 -92734520041 92734524418
Resolved: 4469 -36855766335 36855770804
Resolved: 4470 -74784932181 74784936651
Resolved: 4562 -2253379069 2253383631
Resolved: 4563 -56042432858 56042437421
Resolved: 4655 -70262066448 70262071103
Resolved: 4656 -69424839583 69424844239
Resolved: 4748 23870418650 -23870413902
Resolved: 4749 16620238831 -16620234082
Resolved: 4841 41763671087 -41763666246
Resolved: 4842 41723122048 -41723117206
Resolved: 4935 -97367707174 97367712109
Resolved: 4936 -29470467814 29470472750
Resolved: 5028 29509539310 -29509534282
Resolved: 5029 28160046380 -28160041351
Resolved: 5121 75120871502 -75120866381
Resolved: 5122 -48750486760 48750491882
Resolved: 5214 -26643440839 26643446053
Resolved: 5215 -65472916591 65472921806
Resolved: 5307 -62119726913 62119732220
Resolved: 5308 63039366045 -63039360737
Resolved: 5400 34153179886 -34153174486
Resolved: 5401 68194306999 -68194301598
Resolved: 5493 10758940740 -10758935247
Resolved: 5494 16174303235 -16174297741
Resolved: 5586 -85937266605 85937272191
Resolved: 5587 -85272427642 85272433229
Resolved: 5680 -81303904570 81303910250
Resolved: 5681 -40919203470 40919209151
Resolved: 5773 61862908099 -61862902326
Resolved: 5774 -42751634560 42751640334
Resolved: 5866 -80217807452 80217813318
Resolved: 5867 -84875029505 84875035372
Resolved: 5959 99167584813 -99167578854
Resolved: 5960 -68913313639 68913319599
Resolved: 6052 -90860271078 90860277130
Resolved: 6053 26970299113 -26970293060
Resolved: 6145 -78700797344 78700803489
Resolved: 6146 12897133041 -12897126895
Resolved: 6238 -91951944490 91951950728
Resolved: 6239 52205734584 -52205728345
Resolved: 6332 -42563803375 42563809707
Resolved: 6425 76600781165 -76600774740
Resolved: 6426 65292014631 -65292008205
Resolved: 6518 -11601262685 11601269203
Resolved: 6519 235537393 -235530874
Resolved: 6611 -81749935720 81749942331
Resolved: 6612 -11123757582 11123764194
Resolved: 6704 -67932367683 67932374387
Resolved: 6705 -82294339399 82294346104
Resolved: 6797 -5852338815 5852345612
Resolved: 6798 -94299923533 94299930331
Resolved: 6890 61983821895 -61983815005
Resolved: 6891 53982767255 -53982760364
Resolved: 6983 -91584335544 91584342527
Resolved: 6984 15338103154 -15338096170
Resolved: 7077 -16161866075 16161873152
Resolved: 7078 1731590974 -1731583896
Resolved: 7170 57653050756 -57653043586
Resolved: 7171 -72785077604 72785084775
Resolved: 7263 90445945034 -90445937771
Resolved: 7264 3278934538 -3278927274
Resolved: 7356 -1206297289 1206304645
Resolved: 7357 -39480184829 39480192186
Resolved: 7449 -61777672434 61777679883
Resolved: 7450 29690203224 -29690195774
Resolved: 7542 81456772601 -81456765059
Resolved: 7543 -99545464944 99545472487
Resolved: 7635 -55798127110 55798134745
Resolved: 7636 66152750312 -66152742676
Resolved: 7728 -19237551429 19237559157
Resolved: 7729 23785076068 -23785068339
Resolved: 7822 44364487167 -44364479345
Resolved: 7823 -38562179142 38562186965
Resolved: 7915 77868692566 -77868684651
Resolved: 7916 46062509504 -46062501588
Resolved: 8008 25767916033 -25767908025
Resolved: 8009 97293422556 -97293414547
Resolved: 8101 39957432327 -39957424226
Resolved: 8102 21756194216 -21756186114
Resolved: 8194 -89278843529 89278851723
Resolved: 8195 43249353740 -43249345545
Resolved: 8287 87514323455 -87514315168
Resolved: 8288 -6606125602 6606133890
Resolved: 8380 50025434209 -50025425829
Resolved: 8381 -79662575284 79662583665
Resolved: 8474 37458767805 -37458759331
Resolved: 8475 -77851200466 77851208941
Resolved: 8567 679592648 -679584081
Resolved: 8568 59559610374 -59559601806
Resolved: 8660 -57686906848 57686915508
Resolved: 8661 -48732146504 48732155165
Resolved: 8753 -37354089664 37354098417
Resolved: 8754 -37561147631 37561156385
Resolved: 8846 69788432572 -69788423726
Resolved: 8847 -54858933927 54858942774
Resolved: 8939 18943742624 -18943733685
Resolved: 8940 17227324339 -17227315399
Resolved: 9032 82485300666 -82485291634
Resolved: 9033 -26267291665 26267300698
Resolved: 9125 96416994461 -96416985336
Resolved: 9126 50135877612 -50135868486
Resolved: 9219 12212085962 -12212076743
Resolved: 9220 -72616909711 72616918931
Resolved: 9312 18955846372 -18955837060
Resolved: 9313 -91625652179 91625661492
Resolved: 9405 -46591193577 46591202982
Resolved: 9406 -90330799106 90330808512
Resolved: 9498 -77156717041 77156726539
Resolved: 9499 74580684013 -74580674514
Resolved: 9591 31307901316 -31307891725
Resolved: 9592 -30899811877 30899821469
Resolved: 9684 78187453177 -78187443493
Resolved: 9685 -64955158050 64955167735
Resolved: 9777 5649194449 -5649184672
Resolved: 9778 76659788739 -76659778961
Resolved: 9871 52535754047 -52535744176
Resolved: 9872 18043757285 -18043747413
Resolved: 9964 -22597831918 22597841882
Resolved: 9965 -60076549817 60076559782

Results: 427
[[-9967, 2131098276], [-9966, -60154929460], [-9874, 16588915379], [-9873, -22650831157], [-9780, -30618550783], [-9779, 2257907345], [-9687, -76908695874], [-9686, -53372507614], [-9594, -44767603905], [-9593, -68661292628], [-9501, 75467182777], [-9500, -16489935162], [-9408, 86353027627], [-9407, -43727302060], [-9315, -84682296024], [-9314, 98129508643], [-9222, 2298994409], [-9221, -79024923118], [-9128, -24623679987], [-9127, 22840936446], [-9035, 59068973715], [-9034, 25555992278], [-8942, -45555264944], [-8941, 10675659082], [-8849, 53230611119], [-8848, -92754660078], [-8756, -45510065438], [-8755, -25778345264], [-8663, 85094031218], [-8662, 70968668149], [-8570, -16047031208], [-8569, -34197473123], [-8477, 281667010], [-8476, -85075748333], [-8383, 35765690605], [-8382, -69947061860], [-8290, 71380987936], [-8289, -23656922264], [-8197, -49954184681], [-8196, 78273399909], [-8104, 85235239092], [-8103, 67388526335], [-8011, 60904353093], [-8010, -79484832743], [-7918, 22878720202], [-7917, -23919304705], [-7825, -2024651926], [-7824, 52950955439], [-7731, 91324190698], [-7730, -89511181223], [-7638, 11357825580], [-7637, -1330357651], [-7545, -21483198983], [-7544, -520374859], [-7452, -65802908953], [-7451, 96497304829], [-7359, 47443077595], [-7358, -43249361098], [-7266, -22609158384], [-7265, -94112001543], [-7173, -30700404445], [-7172, -50587050594], [-7080, -57265672255], [-7079, 65354372824], [-6986, -28237636541], [-6985, -88199329557], [-6893, 83117794051], [-6892, 3078479554], [-6800, -82893100001], [-6799, -56526613681], [-6707, 73290441265], [-6706, 49344784929], [-6614, 34937580737], [-6613, -74861882988], [-6521, -45491257006], [-6520, -67106521208], [-6428, -2918023665], [-6427, -50135884039], [-6334, 92896134496], [-6241, 41079733586], [-6240, 27315209772], [-6148, -5365404164], [-6147, -46844711689], [-6055, 1136566652], [-6054, -71727009384], [-5962, 57686900886], [-5961, 97752432058], [-5869, -87890789746], [-5868, 55692742837], [-5776, 34142394146], [-5775, 12215216230], [-5683, -49928313192], [-5682, 21718941499], [-5589, -11657366768], [-5588, -13453813602], [-5496, -81574033], [-5495, 69055242170], [-5403, 67729431468], [-5402, 52702091612], [-5310, 88864088891], [-5309, -85329399810], [-5217, -55011516510], [-5216, 80700933272], [-5124, -3167025142], [-5123, 28334644217], [-5031, -43973332339], [-5030, 80388505002], [-4938, -5856820805], [-4937, 91317072320], [-4844, 22740264852], [-4843, 91448806036], [-4751, 5672235277], [-4750, 71984009804], [-4658, 38493550353], [-4657, -3468122568], [-4565, 7456017428], [-4564, 49113501398], [-4472, 1024614507], [-4471, 38296498143], [-4379, -36836345279], [-4378, 72292140672], [-4286, -65392855074], [-4285, 96202418020], [-4192, 34244587148], [-4191, 96383525802], [-4099, -87059163390], [-4098, 38003687066], [-4006, 15207652335], [-4005, -32863251182], [-3913, -81696934804], [-3912, 35663858771], [-3820, -98390827328], [-3819, -74420313060], [-3727, -14985251481], [-3726, -28996629049], [-3634, -69782438768], [-3633, -35632202279], [-3541, -87608298282], [-3540, -13411575516], [-3447, 98799042030], [-3446, 4313662883], [-3354, -64225757013], [-3353, -15740498023], [-3261, -30566201700], [-3260, 6558577859], [-3168, 40123775666], [-3167, -39383513080], [-3075, -98786548153], [-3074, -80956304717], [-2982, -80425613086], [-2981, -25262262917], [-2889, -48424329120], [-2888, -87958289398], [-2795, 85490995079], [-2794, 94373556317], [-2702, 32122411547], [-2701, -70410491885], [-2609, 28042827792], [-2608, -62870286388], [-2516, 33904853804], [-2515, 75480026088], [-2423, -48732922017], [-2422, -34653874922], [-2330, -16904432568], [-2329, 58715753517], [-2237, 5550360169], [-2236, -91943281420], [-2144, -4743796823], [-2143, -28538507563], [-2050, 8456876272], [-2049, 34476774621], [-1957, -16714061572], [-1956, 49259684770], [-1864, 97367705310], [-1863, -7553553911], [-1771, 33859823240], [-1770, -70755720777], [-1678, 56533717343], [-1677, 78422727705], [-1585, -59173965436], [-1584, 53191535991], [-1492, -5826219594], [-1491, 92636479247], [-1398, 72283977164], [-1397, -77116906446], [-1305, 19762468393], [-1304, -74677527591], [-1212, 52693789895], [-1211, 77733947233], [-1119, -78227449106], [-1118, 21214377657], [-1026, -32358316767], [-1025, 32661633441], [-933, -3405136012], [-932, -88863620157], [-840, 95858387553], [-839, -43218238253], [-747, -52250330222], [-746, -96852802950], [-653, 24336866626], [-652, -92802315202], [-560, -56761472373], [-559, 70670772889], [-467, 7715904855], [-466, 22943678369], [-374, -65609589204], [-373, -40784130125], [-281, 68755425777], [-280, 41840120657], [-188, -50046455372], [-187, 75748243078], [-95, 13449010398], [-94, 91409049924], [-1, -21044697297], [92, 57815931438], [93, -18959432989], [185, -78463560613], [186, 26007162000], [278, 91355508934], [279, 23215811198], [371, 63366192934], [372, -99574917089], [464, 69363357484], [465, 87380832800], [557, -86847006990], [558, -76607317746], [650, 23614466992], [651, 71150747580], [744, -76001740888], [745, 43947960969], [837, 97554130664], [838, 11544434033], [930, -48632585327], [931, 54626729318], [1023, 79862864864], [1024, 8501710700], [1116, 48223847871], [1117, -96995926647], [1209, 45858555261], [1210, -83805293583], [1302, 50911557185], [1303, -61591850483], [1395, -14277012421], [1396, 90234838887], [1489, 59534721895], [1490, -84084745396], [1582, 66984933599], [1583, 78729282030], [1675, 75582751806], [1676, -57452604807], [1768, 49406192148], [1769, 71984016323], [1861, -7640934414], [1862, 41737626186], [1954, 36260734468], [1955, -70478292355], [2047, 39385737077], [2048, -90020804289], [2141, -36935357814], [2142, -87109865801], [2234, -42639985468], [2235, 70659349845], [2327, -54249526819], [2328, -85001385112], [2420, -81550002835], [2421, 76245990850], [2513, -38682945231], [2514, -94649394413], [2606, 41248194659], [2607, -17115763723], [2699, 83142129230], [2700, 3501871369], [2792, -26629283246], [2793, 53547695071], [2886, 66070102698], [2887, -57954325880], [2979, -35310789820], [2980, 77916150716], [3072, -92281244413], [3073, -33983656454], [3165, -48840462021], [3166, 72266530046], [3258, 9726797374], [3259, 23098200989], [3351, 17106621673], [3352, -88730467944], [3444, 52260758984], [3445, -91755973637], [3538, 21152253505], [3539, 28150668148], [3631, -80834002971], [3632, 87465213792], [3724, -52535750323], [3725, 70430768733], [3817, -61413383001], [3818, 99054701253], [3910, 62462374643], [3911, -86578913772], [4003, 9042199844], [4004, -84182867401], [4096, -33835394278], [4097, -27554189660], [4189, -21562338678], [4190, -1510996233], [4283, 25399792997], [4284, -50664683781], [4376, 68438578661], [4377, 92734524418], [4469, 36855770804], [4470, 74784936651], [4562, 2253383631], [4563, 56042437421], [4655, 70262071103], [4656, 69424844239], [4748, -23870413902], [4749, -16620234082], [4841, -41763666246], [4842, -41723117206], [4935, 97367712109], [4936, 29470472750], [5028, -29509534282], [5029, -28160041351], [5121, -75120866381], [5122, 48750491882], [5214, 26643446053], [5215, 65472921806], [5307, 62119732220], [5308, -63039360737], [5400, -34153174486], [5401, -68194301598], [5493, -10758935247], [5494, -16174297741], [5586, 85937272191], [5587, 85272433229], [5680, 81303910250], [5681, 40919209151], [5773, -61862902326], [5774, 42751640334], [5866, 80217813318], [5867, 84875035372], [5959, -99167578854], [5960, 68913319599], [6052, 90860277130], [6053, -26970293060], [6145, 78700803489], [6146, -12897126895], [6238, 91951950728], [6239, -52205728345], [6332, 42563809707], [6425, -76600774740], [6426, -65292008205], [6518, 11601269203], [6519, -235530874], [6611, 81749942331], [6612, 11123764194], [6704, 67932374387], [6705, 82294346104], [6797, 5852345612], [6798, 94299930331], [6890, -61983815005], [6891, -53982760364], [6983, 91584342527], [6984, -15338096170], [7077, 16161873152], [7078, -1731583896], [7170, -57653043586], [7171, 72785084775], [7263, -90445937771], [7264, -3278927274], [7356, 1206304645], [7357, 39480192186], [7449, 61777679883], [7450, -29690195774], [7542, -81456765059], [7543, 99545472487], [7635, 55798134745], [7636, -66152742676], [7728, 19237559157], [7729, -23785068339], [7822, -44364479345], [7823, 38562186965], [7915, -77868684651], [7916, -46062501588], [8008, -25767908025], [8009, -97293414547], [8101, -39957424226], [8102, -21756186114], [8194, 89278851723], [8195, -43249345545], [8287, -87514315168], [8288, 6606133890], [8380, -50025425829], [8381, 79662583665], [8474, -37458759331], [8475, 77851208941], [8567, -679584081], [8568, -59559601806], [8660, 57686915508], [8661, 48732155165], [8753, 37354098417], [8754, 37561156385], [8846, -69788423726], [8847, 54858942774], [8939, -18943733685], [8940, -17227315399], [9032, -82485291634], [9033, 26267300698], [9125, -96416985336], [9126, -50135868486], [9219, -12212076743], [9220, 72616918931], [9312, -18955837060], [9313, 91625661492], [9405, 46591202982], [9406, 90330808512], [9498, 77156726539], [9499, -74580674514], [9591, -31307891725], [9592, 30899821469], [9684, -78187443493], [9685, 64955167735], [9777, -5649184672], [9778, -76659778961], [9871, -52535744176], [9872, -18043747413], [9964, 22597841882], [9965, 60076559782]]

Execution time: 50189453.1234 ms (= 836.5 min vs. 43.5 min Java, Faktor 19.2)
